source_kind,source_path,mode,config,task,successes,trials,initial_eval_seed,episode_seeds,validation
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/shake_bottle_horizontally/client/stseed-10000/metrics/shake_bottle_horizontally/res.json,FBFM,demo_randomized,shake_bottle_horizontally,10,10,10000,10000;10001;10002;10003;10006;10007;10008;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json,FBFM,demo_randomized,stack_blocks_two,8,10,10000,10000;10001;10002;10003;10005;10006;30000;30001;30002;30003,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json,FBFM,demo_randomized,stamp_seal,9,10,10000,10000;10004;10005;10007;10011;10014;10015;10019;10021;10022,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/turn_switch/client/stseed-10000/metrics/turn_switch/res.json,FBFM,demo_randomized,turn_switch,5,10,10000,10000;10001;10002;10003;10004;10006;10008;10009;10010;10013,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_clean/handover_block/client/stseed-10000/metrics/handover_block/res.json,FBFM,demo_clean,handover_block,0,2,10000,10000;10004,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_clean/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json,FBFM,demo_clean,place_bread_basket,2,6,10000,10000;10001;10002;10003;10004;10005,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_clean/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json,FBFM,demo_clean,place_object_basket,7,10,10000,10000;10001;10002;10003;10004;10005;10006;10008;10010;10011,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json,FBFM,demo_clean,put_object_cabinet,3,6,10000,10003;10010;10012;10019;10030;10034,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_clean/shake_bottle_horizontally.interrupted.20260729_021907.dreamzero-fbfm-gpu1/client/stseed-10000/metrics/shake_bottle_horizontally/res.json,FBFM,demo_clean,shake_bottle_horizontally,1,1,10000,10000,ok
main,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/formal_accel_12gpu_20260728_a116e48/runs/FBFM/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json,FBFM,demo_randomized,handover_block,0,2,10000,10000;10001,ok
