unit,task,trial_id,wave_id,condition,normalized_action_channel,channel_value_count,channel_rms
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,1,16,0.009518354199826717
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,2,16,0.006550980266183615
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,3,16,0.004114330746233463
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,4,16,0.001739234197884798
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,5,16,0.0029819905757904053
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,6,16,0.0023920799139887094
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,7,16,0.02461344376206398
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,8,16,0.035954006016254425
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,9,16,0.029972674325108528
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,10,16,0.020256316289305687
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,11,16,0.0011108566541224718
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,12,16,0.006972715724259615
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,13,16,0.00910876877605915
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,28,16,0.0027621358167380095
Pick / T20,pick_diverse_bottles,20,1,rtc_vs_fbfm_cache_switch,29,16,0.0
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,0,16,0.0
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,1,16,0.0016914558364078403
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,2,16,0.001953125
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,3,16,0.001091830083169043
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,4,16,0.00037500628968700767
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,5,16,0.0002927143359556794
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,6,16,0.0009765625
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,7,16,0.0017605230677872896
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,8,16,0.0008802615338936448
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,9,16,0.0013810679083690047
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,10,16,0.0008457279182039201
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,11,16,0.0004638270183932036
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,12,16,0.0006194391753524542
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,13,16,0.0013810679083690047
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,28,16,0.0016914558364078403
Pick / T20,pick_diverse_bottles,20,1,same_cache_repeat_floor,29,16,0.004367320332676172
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,0,16,0.0028830633964389563
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,1,16,0.01421110238879919
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,2,16,0.01925714872777462
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,3,16,0.008055715821683407
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,4,16,0.004892661236226559
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,5,16,0.0035540862008929253
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,6,16,0.0016914558364078403
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,7,16,0.0048828125
